Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
Nattr,2016/11/15,129799,08/08/2014,Dead,05/02/2019,0
Nattr,2015/11/12,140000,08/08/2014,Dead,05/02/2019,0
Nattr,2014/11/12,199998,08/08/2014,Dead,05/02/2019,0
Natural Energy Wyre,2016/9/21,65000,03/07/2014,Dead,02/05/2019,0
Natural Technology Developments,2013/8/27,75000,08/07/2008,Dead,25/10/2018,0
NaturalMotion,2012/6/21,8755750,15/10/2001,Exited,30/01/2014,319598623.9
NaturalMotion,2011/7/1,112253,15/10/2001,Exited,30/01/2014,319598623.9
Nava Finance,2016/12/8,750000,14/09/2015,Dead,25/10/2018,0
Nava Finance,2017/1/5,1359983,14/09/2015,Dead,25/10/2018,0
Neapolitan Live Events,2015/1/9,200000,06/01/2014,Dead,07/11/2018,0
Near You Now,2015/3/4,60009,19/11/2013,Dead,11/06/2019,0
Neesh,2015/10/30,100000,17/02/2014,Dead,08/05/2019,0
Neo AI,2016/9/6,50000,,Dead,10/11/2017,0
Neobo,2014/11/26,53938,28/08/2014,Dead,07/04/2020,0
Neobo,2015/3/26,240847,28/08/2014,Dead,07/04/2020,0
Neon Souls,2014/6/8,30000,28/02/2014,Dead,26/03/2019,0
Neon Souls,2015/2/27,12000,28/02/2014,Dead,26/03/2019,0
Neptune Renewable Energy,2010/10/28,120002,28/11/2005,Dead,03/10/2018,0
Neptune Renewable Energy,2011/6/13,420002,28/11/2005,Dead,03/10/2018,0
Neptune Renewable Energy,2009/11/13,89271,28/11/2005,Dead,03/10/2018,0
Neptune Renewable Energy,2010/3/23,715831,28/11/2005,Dead,03/10/2018,0
Neptune Rum,2018/10/26,99778,08/11/2016,Dead,24/06/2020,0
Net60Six,2010/11/5,343647,07/07/2009,Dead,06/01/2016,0
Net60Six,2012/1/16,730056,07/07/2009,Dead,06/01/2016,0
Net60Six,2013/1/29,199985,07/07/2009,Dead,06/01/2016,0
NetIDme,2011/12/19,8257,18/06/2004,Dead,13/09/2017,0
NetIDme,2010/3/16,120005,18/06/2004,Dead,13/09/2017,0
NetIDme,2011/1/27,202804,18/06/2004,Dead,13/09/2017,0
NetIDme,2010/5/31,1145807,18/06/2004,Dead,13/09/2017,0
NetThings,2013/2/28,500001,28/12/2006,Dead,16/01/2019,0
NetThings,2009/10/30,52498,28/12/2006,Dead,16/01/2019,0
NetThings,2018/7/30,450064,28/12/2006,Dead,16/01/2019,0
NetThings,2017/10/20,750750,28/12/2006,Dead,16/01/2019,0
NetThings,2015/3/31,740886,28/12/2006,Dead,16/01/2019,0
NetThings,2016/12/9,1206775,28/12/2006,Dead,16/01/2019,0
NetThings,2013/8/20,500000,28/12/2006,Dead,16/01/2019,0
NetThings,2012/5/16,941362,28/12/2006,Dead,16/01/2019,0
NetThings,2010/8/3,700009,28/12/2006,Dead,16/01/2019,0
NetThings,2014/5/31,1334950,28/12/2006,Dead,16/01/2019,0
NetThings,2011/7/14,400001,28/12/2006,Dead,16/01/2019,0
NetThings,2015/11/26,795748,28/12/2006,Dead,16/01/2019,0
Netiqet Labs,2015/12/21,175494,16/04/2015,Dead,06/02/2020,0
Netiqet Labs,2019/3/29,402486,16/04/2015,Dead,06/02/2020,0
Netiqet Labs,2017/4/18,434147,16/04/2015,Dead,06/02/2020,0
Neul,2012/11/6,3221775,09/09/2010,Exited,22/09/2014,15276800
Neul,2011/6/29,2534668,09/09/2010,Exited,22/09/2014,15276800
Neutron Ventures,2016/9/10,400724,17/04/2008,Dead,22/10/2018,0
Neutron Ventures,2015/9/25,1695287,17/04/2008,Dead,22/10/2018,0
Neutron Ventures,2012/10/23,500012,17/04/2008,Dead,22/10/2018,0
Neutron Ventures,2018/9/30,1314606,17/04/2008,Dead,22/10/2018,0
New Finance,2015/12/11,124000,05/02/2015,Dead,30/10/2018,0
