Beauhurst company URL,Beauhurst deal URL,Company name,Deal date,Verified investment amount (converted to GBP),Amount raised (converted to GBP)
https://platform.beauhurst.com/company/thrxd3/,https://platform.beauhurst.com/transaction/fundraising/xa3r/,Chapman Entertainment,2011/12/1,,675889
https://platform.beauhurst.com/company/gc6akw/,https://platform.beauhurst.com/transaction/fundraising/pf9m/,My Vote,2015/3/31,150000,150000.35
https://platform.beauhurst.com/company/ax72a3/,https://platform.beauhurst.com/transaction/fundraising/dbrh/,Neobo,2015/3/26,240847,240847.49
https://platform.beauhurst.com/company/y9xp7h/,https://platform.beauhurst.com/transaction/fundraising/up9r/,Auxilium Events,2015/2/5,20000,20000
https://platform.beauhurst.com/company/2i5ugk/,https://platform.beauhurst.com/transaction/fundraising/uzb2/,Student Hut,2014/2/1,100000,99999.9
https://platform.beauhurst.com/company/94qie9/,https://platform.beauhurst.com/transaction/fundraising/4x27/,Vidados,2014/8/15,345000,345000.06
https://platform.beauhurst.com/company/ax72a3/,https://platform.beauhurst.com/transaction/fundraising/vpbj/,Neobo,2014/11/26,53938,53938.33
https://platform.beauhurst.com/company/smmahn/,https://platform.beauhurst.com/transaction/fundraising/7ydh/,Geosho,2015/3/30,40831,40830.65
https://platform.beauhurst.com/company/ynjuia/,https://platform.beauhurst.com/transaction/fundraising/z7cu/,Respond,2014/11/27,150054,150053.76
https://platform.beauhurst.com/company/p8ftkx/,https://platform.beauhurst.com/transaction/fundraising/d3ed/,Avaunt,2014/5/10,55000,54999.53
